id,name,bodyPart,target,equipment,difficulty,category,secondaryMuscles,instructions,description
0014,assisted motion russian twist,waist,abs,medicine ball,beginner,strength,obliques; lower back,"Sit on the ground with your knees bent and feet flat on the floor.; Hold the medicine ball with both hands in front of your chest.; Lean back slightly, engaging your abs and keeping your back straight.; Slowly twist your torso to the right, bringing the medicine ball towards the right side of your body.; Pause for a moment, then twist your torso to the left, bringing the medicine ball towards the left side of your body.; Continue alternating sides for the desired number of repetitions.","The assisted motion Russian twist is a core exercise performed with a medicine ball. It targets the abdominal muscles and also engages the obliques and lower back. The movement involves twisting the torso from side to side while holding a medicine ball, which adds resistance and helps build core strength and stability."
0015,assisted parallel close grip pull-up,back,lats,leverage machine,beginner,strength,biceps; forearms,"Adjust the machine to your desired weight and height.; Place your hands on the parallel bars with a close grip, palms facing each other.; Hang from the bars with your arms fully extended and your feet off the ground.; Engage your back muscles and pull your body up towards the bars, keeping your elbows close to your body.; Continue pulling until your chin is above the bars.; Pause for a moment at the top, then slowly lower your body back down to the starting position.; Repeat for the desired number of repetitions.","The assisted parallel close grip pull-up is a back exercise performed on a leverage machine that helps users perform pull-ups with added support, making it easier to complete the movement and focus on form."
0016,assisted prone hamstring,upper legs,hamstrings,assisted,beginner,strength,glutes; lower back,"Lie face down on a mat or bench with your legs fully extended.; Have a partner or use a resistance band to secure your ankles.; Engage your hamstrings and lift your legs towards your glutes, keeping your knees straight.; Pause for a moment at the top, then slowly lower your legs back down to the starting position.; Repeat for the desired number of repetitions.","The assisted prone hamstring exercise targets the hamstrings with assistance from a partner or resistance band, making it accessible for those developing strength or needing support. It involves lying face down and curling the legs towards the glutes, focusing on hamstring engagement."
0017,assisted pull-up,back,lats,leverage machine,beginner,strength,biceps; forearms,"Adjust the machine to your desired weight and height settings.; Grasp the handles with an overhand grip, slightly wider than shoulder-width apart.; Hang with your arms fully extended and your feet off the ground.; Engage your back muscles and pull your body up towards the handles, keeping your elbows close to your body.; Continue pulling until your chin is above the handles.; Pause for a moment at the top, then slowly lower your body back down to the starting position.; Repeat for the desired number of repetitions.","The assisted pull-up is a machine-based exercise that helps users perform pull-ups with added support, making it easier to lift their body weight. It primarily targets the latissimus dorsi (lats) and also engages the biceps and forearms."
0018,assisted standing triceps extension (with towel),upper arms,triceps,assisted (towel),beginner,strength,shoulders,"Stand with your feet shoulder-width apart and hold a towel with both hands behind your head.; Keep your elbows close to your ears and your upper arms stationary.; Slowly extend your forearms upward, squeezing your triceps at the top.; Pause for a moment, then slowly lower the towel back down to the starting position.; Repeat for the desired number of repetitions.","The assisted standing triceps extension (with towel) is an exercise targeting the triceps using a towel for assistance. It is performed standing, with the towel held behind the head, extending the arms upward to work the triceps."
0019,assisted triceps dip (kneeling),upper arms,triceps,leverage machine,beginner,strength,chest; shoulders,"Adjust the machine to your desired weight and height.; Kneel down on the pad facing the machine, with your hands gripping the handles.; Lower your body by bending your elbows, keeping your back straight and close to the machine.; Pause for a moment at the bottom, then push yourself back up to the starting position.; Repeat for the desired number of repetitions.","The assisted triceps dip (kneeling) is performed on a leverage machine, allowing users to target the triceps with support, making the exercise accessible for those who may not yet have the strength for unassisted dips. It also engages the chest and shoulders as secondary muscles."
0020,balance board,upper legs,quads,body weight,intermediate,balance,calves; hamstrings; glutes,"Place the balance board on a flat surface.; Step onto the balance board with one foot, ensuring it is centered.; Slowly shift your weight onto the foot on the balance board, keeping your core engaged.; Maintain your balance and stability as you hold the position for a desired amount of time.; Repeat the exercise with the other foot.","The balance board exercise involves standing on a balance board with one foot, engaging the core and lower body muscles to maintain stability and balance. This exercise primarily targets the quads, while also engaging the calves, hamstrings, and glutes as secondary muscles."
0022,barbell pullover to press,back,lats,barbell,intermediate,strength,triceps; chest; shoulders,"Lie flat on a bench with your head at one end and your feet on the ground.; Hold the barbell with a pronated grip (palms facing away from you) and extend your arms straight above your chest.; Keeping your arms straight, lower the barbell behind your head in an arc-like motion until you feel a stretch in your lats.; Pause for a moment, then reverse the motion and press the barbell back to the starting position above your chest.; Repeat for the desired number of repetitions.","The barbell pullover to press is a compound exercise that targets the lats and also works the triceps, chest, and shoulders. It involves lowering a barbell behind your head while lying on a bench, then pressing it back up over your chest."
0023,barbell alternate biceps curl,upper arms,biceps,barbell,beginner,strength,forearms,"Stand up straight with your feet shoulder-width apart and hold a barbell in each hand, palms facing forward.; Keep your upper arms stationary and exhale as you curl the weights while contracting your biceps.; Continue to raise the barbells until your biceps are fully contracted and the barbells are at shoulder level.; Hold the contracted position for a brief pause as you squeeze your biceps.; Inhale as you slowly begin to lower the barbells back to the starting position.; Repeat for the desired number of repetitions, alternating arms.","The barbell alternate biceps curl is a strength exercise targeting the biceps, performed by alternately curling a barbell with each arm while standing. It also engages the forearms as secondary muscles."
0024,barbell bench front squat,upper legs,quads,barbell,intermediate,strength,hamstrings; glutes; calves,"Start by standing with your feet shoulder-width apart and the barbell resting on your upper chest, just below your collarbone.; Hold the barbell with an overhand grip, keeping your elbows up and your upper arms parallel to the ground.; Lower your body down into a squat position by bending at the knees and hips, keeping your back straight and your chest up.; Pause for a moment at the bottom of the squat, then push through your heels to return to the starting position.; Repeat for the desired number of repetitions.","The barbell bench front squat is a compound lower body exercise that targets the quadriceps, with secondary emphasis on the hamstrings, glutes, and calves. It requires holding a barbell in the front rack position and performing a squat, demanding good core stability, balance, and mobility."
0025,barbell bench press,chest,pectorals,barbell,intermediate,strength,triceps; shoulders,"Lie flat on a bench with your feet flat on the ground and your back pressed against the bench.; Grasp the barbell with an overhand grip slightly wider than shoulder-width apart.; Lift the barbell off the rack and hold it directly above your chest with your arms fully extended.; Lower the barbell slowly towards your chest, keeping your elbows tucked in.; Pause for a moment when the barbell touches your chest.; Push the barbell back up to the starting position by extending your arms.; Repeat for the desired number of repetitions.","The barbell bench press is a classic compound exercise that primarily targets the pectoral muscles, while also engaging the triceps and shoulders. It is performed by lying on a bench and pressing a barbell up and down in a controlled manner."
0026,barbell bench squat,upper legs,quads,barbell,intermediate,strength,glutes; hamstrings; calves,"Set up a barbell on a squat rack at chest height.; Stand facing away from the rack, with your feet shoulder-width apart.; Bend your knees and lower your body down into a squat position, keeping your back straight and chest up.; Grasp the barbell with an overhand grip, slightly wider than shoulder-width apart.; Lift the barbell off the rack and step back, ensuring your feet are still shoulder-width apart.; Lower your body down into a squat, keeping your knees in line with your toes.; Pause for a moment at the bottom, then push through your heels to return to the starting position.; Repeat for the desired number of repetitions.","The barbell bench squat is a compound lower body exercise that primarily targets the quadriceps, while also engaging the glutes, hamstrings, and calves. It involves squatting with a barbell, requiring good technique and strength."
0027,barbell bent over row,back,upper back,barbell,intermediate,strength,biceps; forearms,"Stand with your feet shoulder-width apart and knees slightly bent.; Bend forward at the hips while keeping your back straight and chest up.; Grasp the barbell with an overhand grip, hands slightly wider than shoulder-width apart.; Pull the barbell towards your lower chest by retracting your shoulder blades and squeezing your back muscles.; Pause for a moment at the top, then slowly lower the barbell back to the starting position.; Repeat for the desired number of repetitions.","The barbell bent over row is a compound exercise targeting the upper back, requiring the lifter to hinge at the hips and pull a barbell towards the torso. It develops strength and muscle mass in the upper back, biceps, and forearms, and demands good posture and core stability."
0028,barbell clean and press,upper legs,quads,barbell,advanced,strength,hamstrings; glutes; shoulders; triceps,"Stand with your feet shoulder-width apart and the barbell on the floor in front of you.; Bend your knees and hinge at the hips to lower down and grip the barbell with an overhand grip, hands slightly wider than shoulder-width apart.; Drive through your heels and extend your hips and knees to lift the barbell off the floor, keeping it close to your body.; As the barbell reaches your thighs, explosively extend your hips, shrug your shoulders, and pull the barbell up towards your chest.; As the barbell reaches chest height, quickly drop under it and catch it at shoulder level, with your elbows pointing forward and your palms facing up.; From the catch position, press the barbell overhead by extending your arms and pushing the barbell straight up.; Lower the barbell back down to the starting position and repeat for the desired number of repetitions.","The barbell clean and press is a compound exercise that targets the quads and involves lifting a barbell from the floor to the shoulders (clean) and then pressing it overhead (press). It requires strength, coordination, and explosive power."
0029,barbell clean-grip front squat,upper legs,glutes,barbell,intermediate,strength,quadriceps; hamstrings; calves; core,"Start by standing with your feet shoulder-width apart and the barbell resting on your upper chest, with your elbows pointing forward.; Lower your body by bending your knees and pushing your hips back, as if you are sitting back into a chair.; Keep your chest up and your back straight as you lower down, making sure your knees do not go past your toes.; Continue lowering until your thighs are parallel to the ground, or as low as you can comfortably go.; Pause for a moment at the bottom, then push through your heels to stand back up, extending your hips and knees.; Repeat for the desired number of repetitions.","The barbell clean-grip front squat is a compound lower body exercise that targets the glutes, quadriceps, and hamstrings, while also engaging the core for stability. It requires holding a barbell in the clean grip position on the front of the shoulders, demanding good mobility and strength."
0030,barbell close-grip bench press,upper arms,triceps,barbell,intermediate,strength,chest; shoulders,"Lie flat on a bench with your feet flat on the ground and your back pressed against the bench.; Grasp the barbell with a close grip, slightly narrower than shoulder-width apart.; Unrack the barbell and lower it slowly towards your chest, keeping your elbows close to your body.; Pause for a moment when the barbell touches your chest.; Push the barbell back up to the starting position, fully extending your arms.; Repeat for the desired number of repetitions.","The barbell close-grip bench press is a compound exercise primarily targeting the triceps, with secondary emphasis on the chest and shoulders. It is performed by lying on a bench, gripping the barbell with a close grip, and pressing the weight up and down while keeping the elbows close to the body."
0031,barbell curl,upper arms,biceps,barbell,beginner,strength,forearms,"Stand up straight with your feet shoulder-width apart and hold a barbell with an underhand grip, palms facing forward.; Keep your elbows close to your torso and exhale as you curl the weights while contracting your biceps.; Continue to raise the bar until your biceps are fully contracted and the bar is at shoulder level.; Hold the contracted position for a brief pause as you squeeze your biceps.; Inhale as you slowly begin to lower the bar back to the starting position.; Repeat for the desired number of repetitions.","The barbell curl is a classic strength exercise targeting the biceps, performed by curling a barbell from the thighs to the shoulders while keeping the elbows close to the torso."
0032,barbell deadlift,upper legs,glutes,barbell,intermediate,strength,hamstrings; lower back,"Stand with your feet shoulder-width apart and the barbell on the ground in front of you.; Bend your knees and hinge at the hips to lower your torso and grip the barbell with an overhand grip, hands slightly wider than shoulder-width apart.; Keep your back straight and chest lifted as you drive through your heels to lift the barbell off the ground, extending your hips and knees.; As you stand up straight, squeeze your glutes and keep your core engaged.; Lower the barbell back down to the ground by bending at the hips and knees, keeping your back straight.; Repeat for the desired number of repetitions.","The barbell deadlift is a compound strength exercise that targets the glutes, hamstrings, and lower back. It involves lifting a loaded barbell from the ground to a standing position, emphasizing proper form and core engagement."
0033,barbell decline bench press,chest,pectorals,barbell,intermediate,strength,triceps; shoulders,"Lie on a decline bench with your feet secured and your head lower than your hips.; Grasp the barbell with an overhand grip slightly wider than shoulder-width apart.; Unrack the barbell and lower it slowly towards your chest, keeping your elbows tucked in.; Pause for a moment at the bottom, then push the barbell back up to the starting position.; Repeat for the desired number of repetitions.","The barbell decline bench press is a compound exercise targeting the lower portion of the pectoral muscles. It is performed on a decline bench, requiring the lifter to press a barbell upward from a declined position, engaging the chest, triceps, and shoulders."
0034,barbell decline bent arm pullover,back,lats,barbell,intermediate,strength,triceps; chest,"Lie down on a decline bench with your head lower than your hips and your feet secured.; Hold a barbell with a pronated grip (palms facing away from you) and extend your arms straight above your chest.; Lower the barbell behind your head in a controlled manner, keeping your arms slightly bent.; Pause for a moment, then raise the barbell back to the starting position by contracting your lats.; Repeat for the desired number of repetitions.","The barbell decline bent arm pullover is a compound exercise primarily targeting the lats, performed on a decline bench with a barbell. It also engages the triceps and chest as secondary muscles. The movement requires good control and strength to safely lower and lift the barbell over the head while maintaining proper form."
0035,barbell decline close grip to skull press,upper arms,triceps,barbell,intermediate,strength,chest; shoulders,"Lie on a decline bench with your head lower than your feet and hold a barbell with a close grip.; Lower the barbell towards your forehead by bending your elbows, keeping your upper arms stationary.; Pause for a moment, then extend your arms to press the barbell back up to the starting position.; Repeat for the desired number of repetitions.","The barbell decline close grip to skull press is a compound exercise targeting the triceps, performed on a decline bench with a close grip on the barbell. It combines elements of a close grip press and a skull crusher, challenging both triceps strength and stability."
0036,barbell decline wide-grip press,chest,pectorals,barbell,intermediate,strength,triceps; shoulders,"Lie on a decline bench with your feet secured and your head lower than your hips.; Grasp the barbell with a wide grip, slightly wider than shoulder-width apart.; Lower the barbell to your chest, keeping your elbows out to the sides.; Push the barbell back up to the starting position, fully extending your arms.; Repeat for the desired number of repetitions.",The barbell decline wide-grip press is a compound chest exercise performed on a decline bench using a barbell with a wide grip. It targets the lower portion of the pectoral muscles and also engages the triceps and shoulders.
0037,barbell decline wide-grip pullover,back,lats,barbell,intermediate,strength,triceps; chest,"Lie on a decline bench with your head lower than your hips and your feet secured.; Hold a barbell with a wide grip and extend your arms straight above your chest.; Lower the barbell behind your head in a controlled manner, keeping your arms straight.; Pause for a moment, then raise the barbell back to the starting position.; Repeat for the desired number of repetitions.","The barbell decline wide-grip pullover is a compound exercise performed on a decline bench, targeting the lats while also engaging the triceps and chest. It requires a barbell and involves lowering the weight behind the head with straight arms, then returning to the starting position."
0038,barbell drag curl,upper arms,biceps,barbell,intermediate,strength,forearms,"Stand with your feet shoulder-width apart and hold a barbell with an underhand grip, palms facing up.; Let the barbell hang at arm's length in front of your thighs.; Keeping your upper arms stationary, curl the barbell up towards your chest by contracting your biceps.; Pause for a moment at the top, then slowly lower the barbell back down to the starting position.; Repeat for the desired number of repetitions.","The barbell drag curl is a biceps-focused exercise that involves curling a barbell while keeping the elbows pulled back, emphasizing the contraction of the biceps and minimizing shoulder involvement. It also engages the forearms as secondary muscles."
0039,barbell front chest squat,upper legs,glutes,barbell,intermediate,strength,quadriceps; hamstrings; calves; core,"Start by standing with your feet shoulder-width apart, toes slightly turned out.; Hold the barbell in front of your chest with your hands shoulder-width apart, elbows pointing forward.; Engage your core and keep your chest up as you lower your body down into a squat position, pushing your hips back and bending your knees.; Lower until your thighs are parallel to the ground, or as low as you can comfortably go.; Pause for a moment at the bottom, then push through your heels to return to the starting position.; Repeat for the desired number of repetitions.","The barbell front chest squat is a compound lower body exercise that targets the glutes and also works the quadriceps, hamstrings, calves, and core. It involves holding a barbell at the front of the chest and performing a squat, which requires strength, balance, and proper technique."
0040,barbell front raise and pullover,chest,pectorals,barbell,intermediate,strength,deltoids; triceps,"Stand with your feet shoulder-width apart and hold a barbell with an overhand grip, palms facing down.; Keep your arms straight and raise the barbell in front of you until it reaches shoulder height.; Pause for a moment at the top, then slowly lower the barbell back down to the starting position.; Next, lower the barbell behind your head, keeping your arms straight.; Pause for a moment at the bottom, then raise the barbell back up to the starting position.; Repeat for the desired number of repetitions.","The barbell front raise and pullover is a compound exercise targeting the pectorals, with secondary emphasis on the deltoids and triceps. It involves raising a barbell in front of the body and then performing a pullover motion behind the head, requiring strength, coordination, and shoulder mobility."
0041,barbell front raise,shoulders,delts,barbell,beginner,strength,biceps; triceps,"Stand with your feet shoulder-width apart and hold a barbell in front of your thighs with an overhand grip.; Keep your arms straight and lift the barbell forward and upward until it reaches shoulder level.; Pause for a moment at the top, then slowly lower the barbell back down to the starting position.; Repeat for the desired number of repetitions.",The barbell front raise is a shoulder exercise that targets the deltoids by lifting a barbell from the thighs to shoulder height with straight arms.
0042,barbell front squat,upper legs,glutes,barbell,intermediate,strength,quadriceps; hamstrings; calves; core,"Start by standing with your feet shoulder-width apart, toes slightly turned out.; Hold the barbell in front of your shoulders, resting it on your collarbone and shoulders.; Engage your core and keep your chest up as you lower your body down into a squat position, pushing your hips back and bending your knees.; Lower until your thighs are parallel to the ground, or as low as you can comfortably go.; Pause for a moment at the bottom, then push through your heels to return to the starting position.; Repeat for the desired number of repetitions.","The barbell front squat is a compound lower body exercise that targets the glutes, quadriceps, and hamstrings, while also engaging the core for stability. The barbell is held in front of the shoulders, requiring good mobility and core strength to maintain proper posture throughout the movement."
0043,barbell full squat,upper legs,glutes,barbell,intermediate,strength,quadriceps; hamstrings; calves; core,"Stand with your feet shoulder-width apart, toes slightly turned out.; Hold the barbell across your upper back, resting it on your traps or rear delts.; Engage your core and keep your chest up as you begin to lower your body down.; Bend at the knees and hips, pushing your hips back and down as if sitting into a chair.; Lower yourself until your thighs are parallel to the ground or slightly below.; Keep your knees in line with your toes and your weight in your heels.; Drive through your heels to stand back up, extending your hips and knees.; Repeat for the desired number of repetitions.","The barbell full squat is a compound lower body exercise that targets the glutes and also works the quadriceps, hamstrings, calves, and core. It involves squatting down with a barbell placed across the upper back, requiring strength, balance, and proper technique."
0044,barbell good morning,upper legs,hamstrings,barbell,intermediate,strength,lower back,"Start by standing with your feet shoulder-width apart and the barbell resting on your upper back.; Keeping your back straight and your core engaged, hinge forward at the hips, pushing your buttocks back as if you were trying to touch the wall behind you with your glutes.; Lower your torso until it is parallel to the ground, feeling a stretch in your hamstrings.; Pause for a moment, then return to the starting position by squeezing your glutes and pushing your hips forward.; Repeat for the desired number of repetitions.","The barbell good morning is a compound exercise that targets the hamstrings and lower back. It involves hinging at the hips with a barbell on your upper back, requiring good form and core stability to perform safely."
0045,barbell guillotine bench press,chest,pectorals,barbell,advanced,strength,shoulders; triceps,"Lie flat on a bench with your feet flat on the ground and your back pressed against the bench.; Grasp the barbell with an overhand grip, slightly wider than shoulder-width apart.; Lower the barbell slowly towards your neck, keeping your elbows pointed outwards.; Pause for a moment when the barbell is just above your neck.; Push the barbell back up to the starting position, fully extending your arms.; Repeat for the desired number of repetitions.","The barbell guillotine bench press is a variation of the bench press where the bar is lowered to the neck instead of the chest, placing greater emphasis on the upper pectorals. This exercise requires careful control and proper technique to avoid injury."
0046,barbell hack squat,upper legs,glutes,barbell,intermediate,strength,quadriceps; hamstrings; calves,"Start by standing with your feet shoulder-width apart and your toes slightly turned out.; Hold the barbell behind your legs, resting it on your upper thighs.; Lower your body by bending at the knees and hips, keeping your back straight and your chest up.; Continue lowering until your thighs are parallel to the ground, or as low as you can comfortably go.; Pause for a moment, then push through your heels to return to the starting position.; Repeat for the desired number of repetitions.","The barbell hack squat is a lower body strength exercise that targets the glutes, quadriceps, hamstrings, and calves. It involves holding a barbell behind the legs and performing a squat motion, emphasizing the posterior chain and quadriceps."
0047,barbell incline bench press,chest,pectorals,barbell,intermediate,strength,shoulders; triceps,"Set up an incline bench at a 45-degree angle.; Lie down on the bench with your feet flat on the ground.; Grasp the barbell with an overhand grip, slightly wider than shoulder-width apart.; Unrack the barbell and lower it slowly towards your chest, keeping your elbows at a 45-degree angle.; Pause for a moment at the bottom, then push the barbell back up to the starting position.; Repeat for the desired number of repetitions.","The barbell incline bench press is a compound upper-body exercise that targets the upper portion of the pectoral muscles, with secondary emphasis on the shoulders and triceps. It is performed on an incline bench using a barbell, making it a staple in strength training routines for developing chest size and strength."
0048,barbell incline reverse-grip press,upper arms,triceps,barbell,intermediate,strength,chest; shoulders,"Set up an incline bench at a 45-degree angle.; Lie back on the bench and grasp the barbell with a reverse grip, hands slightly wider than shoulder-width apart.; Unrack the barbell and lower it towards your upper chest, keeping your elbows tucked in.; Pause for a moment at the bottom, then push the barbell back up to the starting position.; Repeat for the desired number of repetitions.",The barbell incline reverse-grip press is a compound upper body exercise that targets the triceps while also engaging the chest and shoulders. It is performed on an incline bench using a reverse (underhand) grip on the barbell.
0049,barbell incline row,back,upper back,barbell,intermediate,strength,biceps; forearms,"Set up an incline bench at a 45-degree angle.; Lie face down on the bench with your chest against the pad and your feet flat on the ground.; Grasp the barbell with an overhand grip, slightly wider than shoulder-width apart.; Keep your back straight and your core engaged.; Pull the barbell towards your chest, squeezing your shoulder blades together.; Pause for a moment at the top, then slowly lower the barbell back to the starting position.; Repeat for the desired number of repetitions.","The barbell incline row is a compound exercise targeting the upper back, performed while lying face down on an incline bench and pulling a barbell towards the chest."
0050,barbell incline shoulder raise,chest,serratus anterior,barbell,intermediate,strength,deltoids; trapezius,"Set up an incline bench at a 45-degree angle.; Sit on the bench with your back against the pad and feet flat on the ground.; Hold a barbell with an overhand grip, slightly wider than shoulder-width apart.; Lift the barbell up to shoulder height, keeping your elbows slightly bent.; Slowly raise the barbell overhead, extending your arms fully.; Pause for a moment at the top, then slowly lower the barbell back to shoulder height.; Repeat for the desired number of repetitions.","The barbell incline shoulder raise is performed on an incline bench and targets the serratus anterior, with secondary emphasis on the deltoids and trapezius. The movement involves raising a barbell overhead from shoulder height while seated on an incline bench."
0051,barbell jefferson squat,upper legs,glutes,barbell,intermediate,strength,quadriceps; hamstrings; calves,"Stand with your feet shoulder-width apart and toes slightly turned out.; Hold the barbell with an overhand grip, resting it on the front of your body, just below your waist.; Step your left foot forward and your right foot back, keeping your feet shoulder-width apart.; Bend your knees and lower your body down into a squat position, keeping your back straight and chest up.; Push through your heels to stand back up to the starting position.; Repeat the movement, alternating your forward and back foot with each repetition.","The barbell Jefferson squat is a compound lower body exercise that targets the glutes, quadriceps, hamstrings, and calves. It involves holding a barbell between the legs and performing a squat with a staggered stance, alternating foot positions with each repetition."
0052,barbell jm bench press,upper arms,triceps,barbell,advanced,strength,chest; shoulders,"Lie flat on a bench with your feet flat on the ground and your back pressed against the bench.; Grasp the barbell with an overhand grip, slightly wider than shoulder-width apart.; Lower the barbell to your chest, keeping your elbows tucked in close to your body.; Push the barbell back up to the starting position, fully extending your arms.; Repeat for the desired number of repetitions.","The barbell JM bench press is a triceps-focused pressing movement that combines elements of a close-grip bench press and a triceps extension. It is performed lying on a bench, lowering the barbell to the chest with elbows tucked, and pressing back up."
0053,barbell jump squat,upper legs,glutes,barbell,advanced,plyometrics,quadriceps; hamstrings; calves,"Start by standing with your feet shoulder-width apart, holding a barbell across your upper back.; Lower your body into a squat position by bending your knees and pushing your hips back.; Once you reach the bottom of the squat, explode upwards by jumping off the ground.; As you jump, extend your hips, knees, and ankles, pushing through your toes.; Land softly back into the squat position and immediately repeat the movement for the desired number of repetitions.","The barbell jump squat is a dynamic lower body exercise that combines the traditional squat with an explosive jump, performed while holding a barbell across the upper back. This exercise targets the glutes and also works the quadriceps, hamstrings, and calves. It is a plyometric movement that develops power, strength, and explosiveness in the legs."
0054,barbell lunge,upper legs,glutes,barbell,intermediate,strength,quadriceps; hamstrings; calves,"Start by standing with your feet shoulder-width apart and a barbell resting on your upper back.; Take a step forward with your right foot, keeping your torso upright.; Lower your body by bending your right knee until your thigh is parallel to the ground.; Push through your right heel to return to the starting position.; Repeat with your left leg, alternating legs for the desired number of repetitions.","The barbell lunge is a compound lower body exercise that targets the glutes, quadriceps, hamstrings, and calves. It involves stepping forward with a barbell on your upper back and lowering your body into a lunge position before returning to standing."
