Name,Sets,Reps,Rest,Difficulty,Equipment,Level,Goal,Muscle,Source,ImageURL,RefURL
Deadlift,4,9,120,Hard,Barbell,Intermediate,Muscle gain,Back,API-BuildMuscle,https://weighttraining.guide/wp-content/uploads/2016/05/Barbell-Deadlift-1.png,https://weighttraining.guide/exercises/barbell-deadlift/
Bent-Over Rows,3,11,75,Medium,Barbell,Intermediate,Muscle gain,Back,API-BuildMuscle,https://weighttraining.guide/wp-content/uploads/2016/10/Bent-over-barbell-row.png,https://fitnessvolt.com/31615/bent-over-rows-guide/
Pull-Ups,3,10,90,Hard,Bodyweight,Intermediate,Muscle gain,Back,API-BuildMuscle,https://weighttraining.guide/wp-content/uploads/2016/10/pull-up-2-resized.png,https://weighttraining.guide/exercises/pull-up/
Plank,3,1,30,Easy,Bodyweight,Intermediate,Muscle gain,Abs,API-BuildMuscle,https://fitnessprogramer.com/wp-content/uploads/2021/02/plank.gif,https://fitnessprogramer.com/exercise/plank/
Bicycle Crunches,3,17,30,Medium,Bodyweight,Intermediate,Muscle gain,Abs,API-BuildMuscle,https://weighttraining.guide/wp-content/uploads/2016/11/bicycle-crunch-resized-1.png,https://weighttraining.guide/exercises/bicycle-crunch/
Russian Twists,3,20,30,Medium,Medicine ball,Intermediate,Muscle gain,Abs,API-BuildMuscle,https://www.anterides.com/UserFiles/images/exercises/square-annotated/2-Russian-Twist-WEB-F.png,https://www.anterides.com/exercise/159/russian-twist
Gentle Yoga Flow,1,1,0,Easy,Bodyweight,Beginner,Weight loss,Abs,API-Fitness,https://cdn.prod.website-files.com/683b218dcc58f93d54ce8e1d/686c0c2dc33d11fb8faac7f2_686b758ae328c53c41195a91_slow%2520flow%2520yoga.webp,https://myyogateacher.com/articles/slow-flow-yoga-sequence
Plank (Modified),2,2,30,Easy,Bodyweight,Beginner,Weight loss,Abs,API-Fitness,https://fitnessprogramer.com/wp-content/uploads/2021/02/plank.gif,
Bird Dog,2,12,30,Easy,Bodyweight,Beginner,Weight loss,Abs,API-Fitness,https://spotebi.com/wp-content/uploads/2014/10/bird-dogs-exercise-illustration.jpg,https://spotebi.com/exercise-guide/bird-dogs/
HIIT Circuit (Low Impact),1,1,0,Medium,Bodyweight,Beginner,Weight loss,Abs,API-Fitness,https://images.unsplash.com/photo-1534258936925-c58bed479fcb?w=600,https://www.pinterest.com/pin/503206958368195189/
"Child's Pose Stretch",1,1,0,Easy,Bodyweight,Beginner,Weight loss,Abs,API-Fitness,https://liftmanual.com/wp-content/uploads/2023/04/child-pose.jpg,https://liftmanual.com/child-pose/
Yoga for Flexibility,1,1,0,Easy,Bodyweight,Beginner,Weight loss,Back,API-Fitness,https://cdn.prod.website-files.com/683b218dcc58f93d54ce8e1d/6878c7705050c11c0c1fa901_flexibility.webp,https://myyogateacher.com/articles/yoga-for-flexibility-poses
Bridge Exercise,3,15,45,Easy,Bodyweight,Beginner,Weight loss,Back,API-Fitness,https://spotebi.com/wp-content/uploads/2015/01/glute-bridge-exercise-illustration.jpg,https://spotebi.com/exercise-guide/glute-bridge/
Low Impact HIIT,1,1,0,Medium,Bodyweight,Beginner,Weight loss,Legs,API-Fitness,https://www.puregym.com/media/c5dmn1sc/full-body-muscle-building-hiit-workout.jpg?quality=80,https://www.pinterest.com/pin/503206958368195189/
Cat-Cow Stretch,1,1,0,Easy,Bodyweight,Beginner,Weight loss,Legs,API-Fitness,https://liftmanual.com/wp-content/uploads/2023/04/cat-cow-stretch.jpg,https://liftmanual.com/cat-cow-stretch/
Yoga for Core,1,1,0,Easy,Bodyweight,Beginner,Weight loss,Abs,API-Fitness,https://www.puregym.com/media/uzxcaxub/yoga-for-core-strength-2x3.jpg?quality=80,https://www.puregym.com/blog/yoga-for-core-strength-building-a-strong-foundation/
Side Planks,2,2,30,Medium,Bodyweight,Beginner,Weight loss,Abs,API-Fitness,https://weighttraining.guide/wp-content/uploads/2023/03/High-one-leg-side-plank.png,https://weighttraining.guide/exercises/high-one-leg-side-plank/
Tricep Dips,3,12,60,Medium,Parallel Bars,Intermediate,Strength,Triceps,workout_creator_dataset,,
Incline Dumbbell Flyes,3,12,60,Medium,Dumbbells,Intermediate,Strength,Chest,workout_creator_dataset,,
Side Lateral Raises,3,12,60,Medium,Dumbbells,Intermediate,Strength,Shoulders,workout_creator_dataset,,
